Dimension1(nm),Dimension2(nm),Dilution(%),Nano_stock_vol(mL),Diluted_vol(mL),AgConc(M),AgMass(mg),MeOH_vol(mL),H2O_vol(mL),Doping(%),AgSol(uL),Temperature(C),Time(min)
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,0,10
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,0,60
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,0,180
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,25,10
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,25,60
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,25,180
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,50,10
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,50,60
28.639,9.008,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.224379997239891,50,180
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,0,10
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,0,60
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,0,180
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,25,10
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,25,60
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,25,180
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,50,10
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,50,60
31.121,7.358,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,1.974404267879406,50,180
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,0,10
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,0,60
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,0,180
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,25,10
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,25,60
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,25,180
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,50,10
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,50,60
33.654,6.926,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.009749511009488,50,180
30.594,8.897,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.3469433508562574,0,10
30.594,8.897,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.3469433508562574,0,60
30.594,8.897,0.15,0.25,1.75,0.006,3.5,2.496355321231003,0.9985421284924011,2,2.3469433508562574,0,180
